name	location	university	type	language
(Alt-)Griechisch	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
3D Animation for Film and Games	Köln	Technische Hochschule Köln	Master	Englisch
3D-Mediendesign & Management	Idstein	Hochschule Fresenius	Bachelor	Deutsch
Abenteuer- und Erlebnispädagogik	Marburg	Philipps-Universität Marburg	Master	Deutsch
Abfallwirtschaft und Altlasten	Dresden	Technische Universität Dresden	Master	Deutsch
Accessoire Design	Pforzheim	Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht	Bachelor	Deutsch
Accounting and Auditing	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Accounting and Controlling	Berlin	Hochschule für Wirtschaft und Recht Berlin	Master	Englisch
Accounting and Finance	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Accounting and Finance	Frankfurt am Main	Frankfurt University of Applied Sciences	Master	Deutsch
(Alt-)Griechisch	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
3D Animation for Film and Games	Köln	Technische Hochschule Köln	Master	Englisch
3D-Mediendesign & Management	Idstein	Hochschule Fresenius	Bachelor	Deutsch
Abenteuer- und Erlebnispädagogik	Marburg	Philipps-Universität Marburg	Master	Deutsch
Abfallwirtschaft und Altlasten	Dresden	Technische Universität Dresden	Master	Deutsch
Accessoire Design	Pforzheim	Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht	Bachelor	Deutsch
Accounting and Auditing	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Accounting and Controlling	Berlin	Hochschule für Wirtschaft und Recht Berlin	Master	Englisch
Accounting and Finance	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Accounting and Finance	Frankfurt am Main	Frankfurt University of Applied Sciences	Master	Deutsch
Accounting and Finance	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Accounting and Taxation	Bochum	Hochschule Bochum - University of Applied Sciences	Master	Deutsch
Accounting und Controlling	Gelsenkirchen	Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen	Master	Deutsch
Accounting, Auditing and Taxation	Siegen	Universität Siegen	Master	Deutsch
Accounting, Auditing and Taxation	Bochum	Hochschule Bochum - University of Applied Sciences	Master	Deutsch
Accounting, Controlling, Finance (MACF)	Münster	Fachhochschule Münster	Master	Deutsch
Accounting, Finance, Controlling	Fulda	Hochschule Fulda - University of Applied Sciences	Master	Deutsch
Accounting, Taxation and Finance	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Additive Fertigung (Technologie, Material, Design)	Freiberg	Technische Universität Bergakademie Freiberg	Bachelor	Deutsch
Advanced Anglophone Studies	Hannover	Gottfried Wilhelm Leibniz Universität Hannover	Master	Englisch
Advanced Architecture - From Urban Design to Building Construction	Frankfurt am Main	Frankfurt University of Applied Sciences	Master	Englisch
Advanced Computational and Civil Engineering Structural Studies (ACCESS)	Dresden	Technische Universität Dresden	Master	Englisch
Advanced Computer Science	Furtwangen	Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit	Master	Deutsch
Advanced Design	München	Hochschule für angewandte Wissenschaften München	Master	Deutsch
Advanced Education in Musik Pedagogy - Musikpädagogische Fort- und Weiterbildung	Saarbrücken	Hochschule für Musik Saar	Master	Deutsch
Advanced Functional Materials	Chemnitz	Technische Universität Chemnitz	Master	Englisch
Advanced Management	Göttingen	PFH - Private Hochschule Göttingen	Master	Deutsch
Advanced Management (dual)	Göttingen	PFH - Private Hochschule Göttingen	Master	Deutsch
Advanced Manufacturing	Chemnitz	Technische Universität Chemnitz	Master	Englisch
Advanced Marketing Management	Berlin	Steinbeis-Hochschule Berlin	Master	Deutsch
Advanced Materials	Ulm	Universität Ulm	Master	Englisch
Advanced Materials and Processes	Erlangen	Friedrich-Alexander-Universität Erlangen-Nürnberg	Master	Englisch
Advanced Materials Science and Engineering (AMASE)	Saarbrücken	Universität des Saarlandes	Master	Deutsch
