item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q34749,social science,academic discipline concerned with society and the relationships,class used in Universal Decimal Classification,science,http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Vinci%20Vitruve%20Luc%20Viatour.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Huculi%201902.png
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Town%20chief%20Mamadou%20Mansary%20%28centre%20with%20white%20beard%29%20and%20some%20residents%20of%20Bafodia%2C%20Sierra%20Leone%20%28West%20Africa%29%20%282078274863%29.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Vic%20Dessos%20Cabanne%20au%20col%20chemin%20d%27Aubus%20Regnault-%20M.Cochet%20-%20Fonds%20Trutat%20-%20MHNT.PHa.912.A422.jpg
http://www.wikidata.org/entity/Q333,astronomy,natural science that deals with the study of celestial objects,branch of science,exact science,http://commons.wikimedia.org/wiki/Special:FilePath/Blue%20stragglers%20in%20NGC%206397.jpg
http://www.wikidata.org/entity/Q34749,social science,academic discipline concerned with society and the relationships,class used in Universal Decimal Classification,science,http://commons.wikimedia.org/wiki/Special:FilePath/Wealth%20of%20Nations%20title.jpg
http://www.wikidata.org/entity/Q420,biology,study of life,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20the%20Amazon%20Rainforest.jpg
http://www.wikidata.org/entity/Q11190,medicine,"field of study for diagnosing, treating and preventing disease",field of study,health science,http://commons.wikimedia.org/wiki/Special:FilePath/Physical%20examination.jpg
http://www.wikidata.org/entity/Q418,telecommunication,transmission of information between locations using electromagnetics,branch of science,remote communication,http://commons.wikimedia.org/wiki/Special:FilePath/Amfm3.gif
http://www.wikidata.org/entity/Q11190,medicine,"field of study for diagnosing, treating and preventing disease",health science,health science,http://commons.wikimedia.org/wiki/Special:FilePath/Physical%20examination.jpg
http://www.wikidata.org/entity/Q338,cosmology,academic study of the Universe,academic discipline,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Universum.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",industry,technique,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",industry,applied physics,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q333,astronomy,natural science that deals with the study of celestial objects,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Blue%20stragglers%20in%20NGC%206397.jpg
http://www.wikidata.org/entity/Q2329,chemistry,"branch of physical science concerned with the composition, structure and properties of matter",branch of science,physical science,http://commons.wikimedia.org/wiki/Special:FilePath/Chemicals%20in%20flasks.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/DirkvdM%20rocks.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Limu%20o%20Pele.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Seawifs%20global%20biosphere%20Centered%20on%20the%20Pacific.jpg
http://www.wikidata.org/entity/Q394,metrology,science of measurement and its application,branch of science,physical science,http://commons.wikimedia.org/wiki/Special:FilePath/MicrometerInside5-30%2025-50.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),academic discipline,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Cultura%20material%20%28Museu%20Valenci%C3%A0%20d%27Etnologia%29.jpg
http://www.wikidata.org/entity/Q11190,medicine,"field of study for diagnosing, treating and preventing disease",academic discipline,health science,http://commons.wikimedia.org/wiki/Special:FilePath/Physical%20examination.jpg
http://www.wikidata.org/entity/Q11023,engineering,applied science,branch of science,applied science,http://commons.wikimedia.org/wiki/Special:FilePath/Adjusting%20a%20power%20meter%20at%20an%20optical%20communications%20system%20testbed.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",branch of science,technique,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",branch of science,applied physics,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/ADN%20animation.gif
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/Brokechromo.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/NaturalScienceMontage.png
http://www.wikidata.org/entity/Q34749,social science,academic discipline concerned with society and the relationships,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Vinci%20Vitruve%20Luc%20Viatour.jpg
http://www.wikidata.org/entity/Q11661,Information Technology,"development, management, and use of computer-based information systems",industry,technology,http://commons.wikimedia.org/wiki/Special:FilePath/Papertape3.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),academic discipline,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Huculi%201902.png
