itemWiki,itemLabel,instanceLabel
Humanities,Humanities,Branches of Science
Arts,Arts,Humanities
Performing arts,Performing arts,Arts
Music,Music,Performing arts
Accompaniment,Accompanying,Music
Chamber music,Chamber music,Music
Church music,Church music,Music
Conducting,Conducting,Music
Choir,Choral conducting,Conducting
Orchestra,Orchestral conducting,Conducting
Concert band,Wind ensemble conducting,Conducting
Early music,Early music,Music
Jazz,Jazz studies,Music
Musical composition,Musical composition,Music
Music education,Music education,Music
Music history,Music history,Music
Musicology,Musicology,Music
Music history,Historical musicology,Musicology
Systematic musicology,Systematic musicology,Musicology
Ethnomusicology,Ethnomusicology,Music
Music theory,Music theory,Music
Orchestra,Orchestral studies,Music
Organology,Organology,Music
Organ (music),Organ,Organology
Piano,Piano,Organology
String instrument,Strings,Organology
Singing,Singing,Organology
Woodwind instrument,Woodwinds,Organology
Sound recording and reproduction,Recording,Music
Dance,Dance,Performing arts
Choreography,Choreography,Dance
Dance notation,Dance notation,Dance
Ethnochoreology,Ethnochoreology,Dance
History of dance,History of dance,Dance
Television,Television,Performing arts
Television studies,Television studies,Television
Theatre,Theatre,Performing arts
Acting,Acting,Theatre
Theatre director,Directing,Theatre
Dramaturgy,Dramaturgy,Theatre
History of theater,History,Theatre
Musical theatre,Musical theatre,Theatre
Playwrighting,Playwrighting,Theatre
Puppetry,Puppetry,Theatre
Scenography,Scenography,Theatre
Scenic design,Stage design,Theatre
Ventriloquism,Ventriloquism,Theatre
Film studies,Film,Performing arts
Animation,Animation,Film
Film criticism,Film criticism,Film
Filmmaking,Filmmaking,Film
Film theory,Film theory,Film
Live action,Live action,Film
Visual arts,Visual arts,Arts
Fine arts,Fine arts,Visual arts
Graphic arts,Graphic arts,Fine arts
Drawing,Drawing,Graphic arts
Painting,Painting,Graphic arts
Photography,Photography,Graphic arts
Sculpture,Sculpture,Fine arts
Applied arts,Applied arts,Visual arts
Animation,Animation,Applied arts
Calligraphy,Calligraphy,Applied arts
Decorative arts,Decorative arts,Applied arts
Mixed media,Mixed media,Applied arts
Printmaking,Printmaking,Applied arts
Studio art,Studio art,Applied arts
Architecture,Architecture,Applied arts
Interior architecture,Interior architecture,Architecture
Landscape architecture,Landscape architecture,Architecture
Architectural analytics,Architectural analytics,Architecture
Historic preservation,Historic preservation,Architecture
Interior design,Interior design,Architecture
Landscape architecture,Landscape architecture,Architecture
Landscape design,Landscape design,Architecture
Technical drawing,Technical drawing,Architecture
Information architecture,Information architecture,Architecture
Urban planning,Urban planning,Architecture
Design,Outline of design,Applied arts
Fashion design,Fashion design,Outline of design
Textile design,Textile design,Outline of design
User experience design,User experience design,Outline of design
Interaction design,Interaction design,User experience design
User experience evaluation,User experience evaluation,User experience design
User interface design,User interface design,User experience design
Visual communication,Visual communication,Outline of design
Graphic design,Graphic design,Visual communication
Typography,Typography,Visual communication
Type design,Type design,Typography
Industrial design,Industrial design,Outline of design
Ergonomics,Ergonomics,Industrial design
Game design,Game design,Industrial design
Toy,Toy and amusement design,Industrial design
History,History,Humanities
African history,African history,History
American history,American history,History
Ancient history,Ancient history,History
Ancient Carthage,Ancient Carthage,Ancient history
Ancient Egypt,Ancient Egypt,Ancient history
Ancient Greece,Ancient Greek history,Ancient history
Ancient Rome,Ancient Roman history,Ancient history
Historicity of the Bible,Biblical history,Ancient history
Indus Valley Civilisation,History of the Indus Valley Civilization,Ancient history
Preclassic Maya,History of the ancient Maya,Ancient history
History of Mesopotamia,History of Mesopotamia,Ancient history
Yangtze civilization,History of the Yangtze civilization,Ancient history
Yellow River civilization,History of the Yellow River civillization,Ancient history
History of Asia,Asian history,History
History of China,Chinese history,Asian history
History of India,Indian history,Asian history
History of Indonesia,Indonesian history,Asian history
History of Iran,Iranian history,Asian history
History of Australia,Australian history,History
Ecclesiastical history of the Catholic Church,Ecclesiastical history of the Catholic Church,History
Economic history of the world,Economic history,History
Environmental history,Environmental history,History
History of Europe,European history,History
Intellectual history,Intellectual history,History
History of Latin America,Latin American history,History
Modern history,Modern history,History
History of political thought,Political history,History
Pre-Columbian era,Pre-Columbian era,History
History of Russia,Russian history,History
Cultural history,History of Culture,History
History of Science,Scientific history,History
History of Technology,Technological history,History
World history,World history,History
Languages and literature,Languages and literature,Humanities
Linguistics,Linguistics,Languages and literature
Applied linguistics,Applied linguistics,Linguistics
Composition studies,Composition studies,Linguistics
Computational linguistics,Computational linguistics,Linguistics
Discourse analysis,Discourse analysis,Linguistics
English studies,English studies,Linguistics
Etymology,Etymology,Linguistics
Grammar,Grammar,Linguistics
Historical linguistics,Historical linguistics,Linguistics
History of linguistics,History of linguistics,Linguistics
Interlinguistics,Interlinguistics,Linguistics
Lexicology,Lexicology,Linguistics
Linguistic typology,Linguistic typology,Linguistics
Morphology (linguistics),Morphology (linguistics),Linguistics
Natural language processing,Natural language processing,Linguistics
Philology,Philology,Linguistics
Phonetics,Phonetics,Linguistics
Phonology,Phonology,Linguistics
Pragmatics,Pragmatics,Linguistics
Psycholinguistics,Psycholinguistics,Linguistics
Rhetoric,Rhetoric,Linguistics
Semantics,Semantics,Linguistics
Semiotics,Semiotics,Linguistics
Sociolinguistics,Sociolinguistics,Linguistics
Syntax,Syntax,Linguistics
Usage,Usage,Linguistics
Word usage,Word usage,Linguistics
Comparative literature,Comparative literature,Languages and literature
Creative writing,Creative writing,Languages and literature
Fiction,Fiction,Creative writing
Non-fiction,Non-fiction,Creative writing
English literature,English literature,Languages and literature
History of literature,History of literature,Languages and literature
Medieval literature,Medieval literature,History of literature
Post-colonial literature,Post-colonial literature,History of literature
Post-modern literature,Post-modern literature,History of literature
Literary theory,Literary theory,Languages and literature
Critical theory,Critical theory,Literary theory
Literary criticism,Literary criticism,Literary theory
Poetics,Poetics,Literary theory
Rhetoric,Rhetoric,Literary theory
Poetry,Poetry,Languages and literature
World literature,World literature,Languages and literature
African-American literature,African-American literature,World literature
American literature,American literature,World literature
British literature,British literature,World literature
Law,Law,Humanities
Administrative law,Administrative law,Law
Canon law,Canon law,Law
Civil law (common law),Civil law,Law
Admiralty law,Admiralty law,Civil law
Animal law,Animal law,Civil law
Civil procedure,Civil procedure,Civil law
Common law,Common law,Civil law
Contract law,Contract law,Civil law
Corporations,Corporations,Civil law
Environmental law,Environmental law,Civil law
Family law,Family law,Civil law
Federal law,Federal law,Civil law
International law,International law,Civil law
Public international law,Public international law,International law
Supranational law,Supranational law,International law
Labor law,Labor law,Civil law
Property law,Property law,Civil law
Tax law,Tax law,Civil law
Tort law,Tort law,Civil law
Comparative law,Comparative law,Law
Competition law,Competition law,Law
Constitutional law,Constitutional law,Law
