item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q7150,ecology,scientific study of the relationships between living organisms,branch of biology,biogeography,http://commons.wikimedia.org/wiki/Special:FilePath/Grib%20skov.jpg
http://www.wikidata.org/entity/Q7150,ecology,scientific study of the relationships between living organisms,branch of geography,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Grib%20skov.jpg
http://www.wikidata.org/entity/Q441,botany,science of plant life,branch of biology,plant science,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q441,botany,science of plant life,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q514,anatomy,branch of biology and medicine that considers the structure of living things,branch of biology,medicine,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20vinci%2C%20Drawing%20of%20a%20Woman%27s%20Torso.jpg
http://www.wikidata.org/entity/Q420,biology,study of life,academic discipline,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20the%20Amazon%20Rainforest.jpg
http://www.wikidata.org/entity/Q7175,mycology,branch of biology concerned with the study of fungi,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/LA2-Blitz-0309.jpg
http://www.wikidata.org/entity/Q7175,mycology,branch of biology concerned with the study of fungi,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Millot%20champignon.jpg
http://www.wikidata.org/entity/Q7175,mycology,branch of biology concerned with the study of fungi,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Mycology%20Table%20-%20Flickr%20-%20treegrow.jpg
http://www.wikidata.org/entity/Q7175,mycology,branch of biology concerned with the study of fungi,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Persoon%20title.jpg
http://www.wikidata.org/entity/Q514,anatomy,branch of biology and medicine that considers the structure of living things,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20vinci%2C%20Drawing%20of%20a%20Woman%27s%20Torso.jpg
http://www.wikidata.org/entity/Q521,physiology,science of the function of living systems,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Bernard%20and%20his%20pupils.%20Oil%20painting%20after%20L%C3%A9on-Augus%20Wellcome%20V0017769.jpg
http://www.wikidata.org/entity/Q418,telecommunication,transmission of information between locations using electromagnetics,branch of science,remote communication,http://commons.wikimedia.org/wiki/Special:FilePath/Amfm3.gif
http://www.wikidata.org/entity/Q7141,cell biology,scientific discipline that studies cells,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/NIEHScell.jpg
http://www.wikidata.org/entity/Q7141,cell biology,scientific discipline that studies cells,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/SEM%20blood%20cells.jpg
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Fat%20triglyceride%20shorthand%20formula.PNG
http://www.wikidata.org/entity/Q7193,microbiology,study of microscopic organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Agar%20plate%20with%20colonies.jpg
http://www.wikidata.org/entity/Q7193,microbiology,study of microscopic organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Anthonie%20van%20Leeuwenhoek%20%281632-1723%29.%20Natuurkundige%20te%20Delft%20Rijksmuseum%20SK-A-957.jpeg
http://www.wikidata.org/entity/Q7193,microbiology,study of microscopic organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Cuves%20de%20fermentations.jpg
http://www.wikidata.org/entity/Q7193,microbiology,study of microscopic organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Medical%20laboratory%2C%20Where%20science%2C%20medicine%20converge%20140417-F-FM358-007.jpg
http://www.wikidata.org/entity/Q7193,microbiology,study of microscopic organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/The%20cow%20pock.jpg
http://www.wikidata.org/entity/Q944,quantum mechanics,branch of physics dealing with phenomena at scales of the order of the Planck constant,branch of physics,mechanics,http://commons.wikimedia.org/wiki/Special:FilePath/Ondaparticula.JPG
http://www.wikidata.org/entity/Q2329,chemistry,"branch of physical science concerned with the composition, structure and properties of matter",branch of science,physical science,http://commons.wikimedia.org/wiki/Special:FilePath/Chemicals%20in%20flasks.jpg
http://www.wikidata.org/entity/Q441,botany,science of plant life,academic discipline,plant science,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/DirkvdM%20rocks.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Limu%20o%20Pele.jpg
http://www.wikidata.org/entity/Q8008,earth sciences,fields of science dealing with planet Earth,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Seawifs%20global%20biosphere%20Centered%20on%20the%20Pacific.jpg
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,branch of chemistry,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Fat%20triglyceride%20shorthand%20formula.PNG
http://www.wikidata.org/entity/Q441,botany,science of plant life,academic major,plant science,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q7150,ecology,scientific study of the relationships between living organisms,branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Grib%20skov.jpg
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,branch of biology,organic chemistry,http://commons.wikimedia.org/wiki/Special:FilePath/Fat%20triglyceride%20shorthand%20formula.PNG
http://www.wikidata.org/entity/Q944,quantum mechanics,branch of physics dealing with phenomena at scales of the order of the Planck constant,theory,mechanics,http://commons.wikimedia.org/wiki/Special:FilePath/Ondaparticula.JPG
http://www.wikidata.org/entity/Q441,botany,science of plant life,academic discipline,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q441,botany,science of plant life,academic major,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Bl%C3%A4tter%20mit%20Eis%20%2811400428245%29.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/ADN%20animation.gif
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/Brokechromo.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,branch of science,science,http://commons.wikimedia.org/wiki/Special:FilePath/NaturalScienceMontage.png
http://www.wikidata.org/entity/Q7215,virology,study of viruses,branch of biology,microbiology,http://commons.wikimedia.org/wiki/Special:FilePath/Cytomegalovirus%2001.jpg
